subscription_id,customer_id,plan,monthly_revenue,is_churned,created_at
180,180,Enterprise,99,0,2023-01-07
181,181,Professional,199,0,2024-01-16
182,182,Enterprise,99,1,2024-06-06
183,183,Enterprise,49,0,2023-09-13
184,184,Enterprise,49,1,2023-12-30
185,185,Basic,49,0,2023-07-28
186,186,Professional,199,0,2023-10-05
187,187,Professional,999,0,2024-09-01
188,188,Basic,99,0,2023-02-10
189,189,Enterprise,99,0,2024-09-20
190,190,Basic,99,0,2023-06-17
191,191,Professional,49,0,2024-11-15
192,192,Basic,499,1,2023-05-10
193,193,Enterprise,99,0,2024-01-06
194,194,Enterprise,199,0,2023-04-23
195,195,Professional,999,0,2024-10-25
196,196,Basic,199,1,2024-04-11
197,197,Basic,49,0,2024-04-26
198,198,Enterprise,49,0,2023-01-17
199,199,Enterprise,99,0,2023-05-11
200,200,Basic,499,0,2024-09-04
201,201,Professional,49,0,2024-07-22
202,202,Professional,49,0,2024-10-22
203,203,Basic,199,1,2023-09-25
204,204,Basic,49,0,2023-01-16
205,205,Enterprise,999,0,2023-12-01
206,206,Enterprise,99,0,2024-04-21
207,207,Enterprise,49,0,2024-05-04
208,208,Professional,199,0,2023-04-08
209,209,Basic,499,0,2024-05-11
210,210,Professional,999,0,2023-01-16
211,211,Enterprise,99,0,2023-06-19
212,212,Professional,199,0,2024-02-20
213,213,Enterprise,999,0,2024-04-21
214,214,Professional,499,0,2023-12-25
215,215,Professional,99,0,2023-05-22
216,216,Enterprise,49,0,2024-08-07
217,217,Professional,199,1,2024-01-15
218,218,Professional,499,1,2024-07-24
219,219,Basic,99,0,2024-01-01
220,220,Basic,199,1,2024-05-20
221,221,Professional,49,1,2024-11-19
222,222,Professional,199,0,2024-05-04
223,223,Basic,199,0,2023-06-09
224,224,Enterprise,99,0,2023-12-23
225,225,Professional,199,1,2024-10-10
226,226,Professional,999,0,2024-06-20
227,227,Professional,199,0,2023-11-24
228,228,Basic,999,1,2023-11-12
229,229,Enterprise,999,1,2023-10-28
230,230,Basic,199,1,2023-10-16
231,231,Basic,999,1,2024-11-11
232,232,Enterprise,199,0,2023-07-10
233,233,Enterprise,99,0,2023-01-31
234,234,Basic,499,0,2023-03-23
235,235,Basic,999,0,2023-08-12
236,236,Basic,99,0,2023-08-11
237,237,Professional,99,0,2024-04-11
238,238,Professional,999,0,2023-08-10
239,239,Professional,499,0,2023-01-17
240,240,Professional,199,1,2023-04-30
241,241,Enterprise,499,0,2023-08-15
242,242,Enterprise,199,0,2024-10-07
243,243,Basic,499,0,2023-10-12
244,244,Professional,199,0,2023-06-06
245,245,Basic,199,1,2024-06-22
246,246,Enterprise,199,0,2023-03-25
247,247,Basic,99,0,2024-06-10
248,248,Professional,499,0,2023-09-28
249,249,Enterprise,199,1,2023-11-05
250,250,Professional,499,1,2024-11-23
251,251,Basic,49,0,2024-03-30
252,252,Enterprise,999,0,2024-05-15
253,253,Enterprise,99,0,2023-10-01
254,254,Professional,49,0,2023-04-12
255,255,Enterprise,499,1,2024-02-05
256,256,Basic,499,0,2023-08-30
257,257,Enterprise,499,0,2024-08-11
258,258,Professional,99,0,2023-03-31
259,259,Enterprise,199,0,2023-11-01
260,260,Professional,49,0,2023-12-25
261,261,Enterprise,199,0,2023-11-14
262,262,Enterprise,99,0,2024-01-25
263,263,Professional,99,0,2024-11-30
264,264,Enterprise,999,0,2024-06-20
265,265,Enterprise,999,0,2024-09-22
266,266,Basic,999,1,2024-10-23
267,267,Enterprise,999,0,2023-02-04
268,268,Basic,99,0,2023-06-08
269,269,Professional,499,0,2024-01-17
270,270,Professional,499,0,2024-09-08
271,271,Professional,499,0,2024-02-22
272,272,Basic,999,0,2023-09-03
273,273,Enterprise,499,1,2024-06-03
274,274,Basic,99,0,2023-11-30
275,275,Professional,499,0,2024-05-16
276,276,Professional,199,0,2023-05-25
277,277,Basic,499,0,2024-03-24
278,278,Professional,99,0,2024-09-21
279,279,Basic,199,1,2023-10-03
280,280,Basic,999,0,2023-04-17
281,281,Professional,499,1,2024-07-09
282,282,Basic,99,0,2023-11-30
283,283,Basic,199,0,2023-01-01
284,284,Basic,499,0,2024-11-21
285,285,Basic,99,0,2023-05-06
286,286,Professional,199,0,2023-07-03
287,287,Professional,999,0,2024-09-29
288,288,Enterprise,99,0,2023-01-08
289,289,Enterprise,99,0,2024-05-31
290,290,Professional,99,0,2024-02-18
291,291,Enterprise,499,0,2023-12-11
292,292,Professional,99,0,2023-12-27
293,293,Basic,49,1,2024-07-28
294,294,Professional,49,0,2024-08-11
295,295,Professional,199,0,2024-10-05
296,296,Professional,199,0,2023-12-31
297,297,Enterprise,499,0,2023-03-06
298,298,Basic,49,0,2024-08-27
299,299,Professional,199,0,2023-09-24
300,300,Professional,999,1,2023-01-03
301,301,Professional,49,0,2023-06-03
302,302,Enterprise,99,0,2023-02-12
303,303,Basic,999,1,2024-09-10
304,304,Enterprise,999,0,2023-11-20
305,305,Basic,499,0,2024-01-08
306,306,Professional,99,0,2023-05-24
307,307,Enterprise,99,0,2024-10-05
308,308,Professional,49,0,2023-06-08
309,309,Professional,499,0,2024-01-20
310,310,Basic,999,1,2023-04-28
311,311,Professional,99,0,2023-01-10
312,312,Enterprise,499,0,2023-10-20
313,313,Professional,49,0,2023-07-21
314,314,Professional,49,0,2024-08-03
315,315,Enterprise,999,0,2024-10-23
316,316,Professional,999,0,2024-08-12
317,317,Professional,999,0,2023-09-20
318,318,Professional,499,0,2024-04-03
319,319,Basic,499,0,2024-09-12
320,320,Basic,49,0,2024-10-09
321,321,Enterprise,499,0,2024-10-03
322,322,Basic,199,0,2024-07-15
323,323,Basic,499,0,2023-05-10
324,324,Basic,499,0,2023-04-26
325,325,Professional,49,0,2023-10-30
326,326,Enterprise,49,0,2023-01-12
327,327,Basic,999,0,2024-09-18
328,328,Basic,99,0,2023-03-25
329,329,Professional,499,0,2024-07-03
330,330,Basic,999,0,2023-04-24
331,331,Professional,199,1,2024-03-24
332,332,Enterprise,199,0,2023-11-07
333,333,Professional,499,1,2024-05-04
334,334,Professional,99,1,2023-06-07
335,335,Enterprise,49,0,2024-06-09
336,336,Professional,499,0,2024-04-10
337,337,Professional,49,1,2023-09-10
338,338,Enterprise,999,0,2023-08-26
339,339,Basic,999,0,2024-10-14
340,340,Basic,499,0,2023-03-20
341,341,Professional,999,0,2024-03-22
342,342,Professional,199,0,2023-10-14
343,343,Enterprise,199,0,2024-01-17
344,344,Professional,999,0,2023-04-09
345,345,Enterprise,499,0,2024-02-04
346,346,Professional,499,0,2024-01-15
347,347,Enterprise,999,0,2024-09-19
348,348,Basic,999,0,2024-03-30
349,349,Professional,999,0,2024-02-09
350,350,Basic,99,0,2023-08-01
351,351,Basic,499,0,2023-06-22
352,352,Professional,999,0,2023-11-04
353,353,Basic,199,0,2024-08-16
354,354,Basic,49,1,2024-02-01
355,355,Basic,499,0,2023-05-10
356,356,Enterprise,999,1,2023-08-20
357,357,Enterprise,49,0,2023-07-19
358,358,Basic,499,0,2024-02-20
359,359,Enterprise,199,0,2023-03-28
360,360,Professional,499,0,2024-10-06
361,361,Enterprise,199,0,2024-02-03
362,362,Basic,99,0,2023-12-16
363,363,Professional,99,0,2024-04-07
364,364,Professional,49,0,2023-06-18
365,365,Professional,499,0,2024-11-06
366,366,Professional,499,0,2023-12-17
367,367,Enterprise,49,0,2023-07-02
368,368,Basic,499,0,2024-09-17
369,369,Enterprise,49,0,2024-11-16
370,370,Enterprise,49,0,2024-09-22
371,371,Professional,499,0,2024-10-22
372,372,Enterprise,99,0,2024-04-10
373,373,Basic,199,0,2024-08-29
374,374,Enterprise,199,0,2023-12-19
375,375,Enterprise,49,0,2023-04-18
376,376,Enterprise,49,0,2024-08-06
377,377,Basic,99,0,2024-04-27
378,378,Basic,199,0,2023-10-29
379,379,Professional,99,0,2024-08-20
380,380,Basic,49,1,2023-01-14
381,381,Enterprise,199,1,2023-03-11
382,382,Professional,199,0,2024-06-19
383,383,Basic,99,0,2024-02-09
384,384,Enterprise,499,0,2023-04-29
385,385,Professional,499,0,2023-02-24
386,386,Basic,499,1,2023-06-08
387,387,Professional,499,0,2023-04-19
388,388,Enterprise,999,0,2023-01-19
389,389,Enterprise,499,0,2023-05-26
390,390,Professional,999,0,2023-04-28
391,391,Enterprise,199,0,2023-02-16
392,392,Basic,99,0,2023-05-17
393,393,Basic,199,0,2023-02-19
394,394,Enterprise,999,0,2024-07-16
395,395,Basic,999,0,2023-12-15
396,396,Enterprise,99,0,2023-12-22
397,397,Professional,499,0,2023-11-09
398,398,Basic,499,0,2024-07-22
399,399,Enterprise,499,0,2023-12-08
400,400,Professional,99,1,2024-02-04
401,401,Professional,199,0,2023-08-16
402,402,Enterprise,99,0,2023-07-15
403,403,Enterprise,499,0,2023-07-22
404,404,Basic,49,0,2024-05-06
405,405,Basic,99,0,2024-08-21
406,406,Basic,499,0,2024-01-19
407,407,Enterprise,49,1,2024-05-04
408,408,Professional,999,1,2024-07-26
409,409,Professional,49,0,2024-08-20
410,410,Basic,99,0,2024-05-31
411,411,Professional,199,0,2023-05-24
412,412,Enterprise,499,0,2023-10-21
413,413,Enterprise,999,0,2023-02-01
414,414,Professional,999,0,2023-08-02
415,415,Basic,99,0,2024-11-10
416,416,Basic,199,1,2023-09-11
417,417,Enterprise,499,0,2024-11-09
418,418,Professional,199,0,2023-11-03
419,419,Enterprise,999,0,2023-06-13
420,420,Professional,99,0,2023-08-26
421,421,Professional,999,1,2024-01-22
422,422,Basic,49,0,2023-08-08
423,423,Professional,499,0,2024-09-04
424,424,Basic,199,0,2024-06-07
425,425,Professional,999,0,2024-06-16
426,426,Enterprise,199,0,2023-09-04
427,427,Basic,999,1,2024-10-27
428,428,Basic,199,0,2024-03-09
429,429,Professional,499,0,2023-12-30
430,430,Professional,499,1,2023-10-04
431,431,Enterprise,99,0,2024-11-22
432,432,Enterprise,49,1,2023-10-06
433,433,Enterprise,99,0,2023-09-29
434,434,Basic,199,0,2023-01-01
435,435,Professional,999,0,2024-09-20
436,436,Basic,49,0,2024-07-04
437,437,Enterprise,199,0,2024-10-07
438,438,Professional,499,0,2024-07-11
439,439,Professional,499,0,2024-05-21
440,440,Enterprise,49,0,2024-10-23
441,441,Professional,499,1,2023-10-11
442,442,Enterprise,49,0,2024-01-10
443,443,Basic,999,0,2024-03-12
444,444,Enterprise,499,0,2024-01-11
445,445,Professional,49,0,2023-11-30
446,446,Enterprise,49,1,2024-08-20
447,447,Professional,499,0,2024-03-07
448,448,Basic,999,0,2024-10-22
449,449,Enterprise,999,0,2023-07-20
450,450,Enterprise,49,0,2024-04-24
451,451,Basic,49,0,2023-06-23
452,452,Enterprise,999,0,2024-05-19
453,453,Professional,499,0,2024-02-10
454,454,Basic,199,0,2023-06-11
455,455,Enterprise,499,0,2024-07-26
456,456,Basic,49,0,2024-03-24
457,457,Basic,999,0,2023-10-18
458,458,Enterprise,49,0,2023-02-18
459,459,Professional,999,0,2024-08-24
460,460,Basic,49,0,2024-01-17
461,461,Enterprise,49,0,2024-07-24
462,462,Enterprise,999,0,2023-05-07
463,463,Basic,499,0,2023-04-19
464,464,Enterprise,999,0,2023-09-07
465,465,Professional,499,0,2024-11-19
466,466,Enterprise,499,0,2024-09-30
467,467,Enterprise,49,0,2023-04-23
468,468,Enterprise,99,0,2023-04-15
469,469,Basic,199,1,2023-07-29
470,470,Basic,199,0,2024-03-29
471,471,Professional,99,0,2023-10-23
472,472,Basic,999,0,2023-11-07
473,473,Basic,49,0,2023-05-07
474,474,Basic,99,0,2023-04-17
475,475,Enterprise,499,0,2024-09-25
476,476,Professional,199,0,2023-02-10
477,477,Enterprise,499,0,2024-09-03
478,478,Basic,499,0,2023-01-07
479,479,Enterprise,99,0,2024-10-30
480,480,Professional,199,0,2024-04-19
481,481,Professional,499,0,2024-11-18
482,482,Professional,999,1,2024-09-16
483,483,Professional,499,0,2024-07-10
484,484,Enterprise,199,0,2023-08-22
485,485,Basic,99,1,2024-06-25
486,486,Basic,499,1,2023-02-04
487,487,Professional,499,0,2023-02-28
488,488,Basic,49,0,2024-05-03
489,489,Enterprise,99,0,2024-07-07
490,490,Enterprise,499,0,2024-01-18
491,491,Enterprise,999,0,2024-08-26
492,492,Professional,999,1,2024-03-10
493,493,Basic,999,0,2023-06-14
494,494,Enterprise,199,1,2024-10-20
495,495,Enterprise,999,0,2023-09-03
496,496,Professional,499,0,2023-07-03
497,497,Professional,99,1,2023-05-27
498,498,Enterprise,49,0,2024-08-09
499,499,Basic,99,0,2024-05-13
500,500,Enterprise,499,0,2024-11-17
501,501,Enterprise,49,0,2023-12-03
502,502,Professional,999,1,2023-01-13
503,503,Professional,99,0,2024-07-19
504,504,Professional,49,0,2023-07-13
505,505,Professional,199,0,2023-06-12
506,506,Basic,199,0,2024-06-25
507,507,Basic,999,0,2024-07-02
508,508,Professional,49,1,2023-05-07
509,509,Professional,499,0,2024-01-19
510,510,Professional,999,1,2023-07-07
511,511,Enterprise,99,0,2023-05-03
512,512,Professional,499,0,2024-10-17
513,513,Enterprise,99,0,2024-05-22
514,514,Basic,999,1,2023-08-19
515,515,Basic,199,0,2024-06-16
516,516,Professional,99,0,2023-12-03
517,517,Basic,99,0,2023-01-14
518,518,Enterprise,99,0,2024-04-15
519,519,Basic,199,0,2023-12-20
520,520,Professional,99,0,2023-06-03
521,521,Basic,999,1,2024-01-25
522,522,Enterprise,199,0,2024-07-30
523,523,Basic,99,1,2024-09-03
524,524,Basic,499,0,2024-09-15
525,525,Basic,99,0,2024-09-23
526,526,Enterprise,49,0,2023-04-11
527,527,Enterprise,49,0,2024-08-28
528,528,Enterprise,499,1,2023-04-11
529,529,Enterprise,499,0,2023-08-15
530,530,Basic,499,1,2024-02-01
531,531,Basic,999,0,2023-04-10
532,532,Professional,499,0,2023-09-20
533,533,Enterprise,49,1,2024-06-23
534,534,Enterprise,99,0,2023-02-18
535,535,Professional,999,1,2024-06-08
536,536,Enterprise,199,0,2023-05-18
537,537,Professional,999,0,2024-06-19
538,538,Basic,499,0,2023-04-29
539,539,Enterprise,999,0,2024-05-16
540,540,Enterprise,999,0,2023-05-14
541,541,Enterprise,499,0,2024-09-29
542,542,Basic,499,1,2024-10-08
543,543,Enterprise,999,0,2024-05-18
544,544,Enterprise,99,0,2024-09-01
545,545,Basic,499,1,2023-08-06
546,546,Professional,199,1,2024-03-09
547,547,Basic,499,0,2023-03-31
548,548,Basic,999,0,2024-05-21
549,549,Basic,499,0,2023-03-09
550,550,Enterprise,499,0,2023-04-12
551,551,Enterprise,499,0,2023-01-05
552,552,Professional,999,1,2023-01-15
553,553,Professional,99,0,2024-07-27
554,554,Basic,999,0,2023-01-03
555,555,Enterprise,999,0,2023-11-27
556,556,Enterprise,499,1,2024-11-11
557,557,Professional,199,0,2023-11-28
558,558,Basic,499,1,2023-06-03
559,559,Professional,199,0,2023-09-30
560,560,Enterprise,99,0,2023-05-21
561,561,Professional,199,1,2024-08-15
562,562,Basic,999,0,2023-05-17
563,563,Professional,199,0,2023-09-12
564,564,Enterprise,199,0,2024-07-20
565,565,Basic,999,0,2024-10-14
566,566,Basic,49,0,2023-05-09
567,567,Enterprise,199,0,2024-09-20
568,568,Basic,99,1,2023-01-17
569,569,Basic,499,1,2023-03-23
570,570,Enterprise,499,0,2024-02-08
571,571,Basic,49,0,2023-07-12
572,572,Basic,199,0,2023-09-13
573,573,Enterprise,999,0,2024-02-07
574,574,Enterprise,499,1,2024-02-09
575,575,Enterprise,49,0,2023-08-09
576,576,Enterprise,499,0,2024-04-19
577,577,Basic,199,1,2024-01-02
578,578,Professional,99,1,2024-06-19
579,579,Basic,499,0,2023-06-30
580,580,Professional,49,0,2024-05-23
581,581,Enterprise,999,0,2024-11-10
582,582,Enterprise,199,0,2023-02-07
583,583,Professional,99,0,2023-12-09
584,584,Professional,199,0,2024-02-15
585,585,Basic,999,0,2024-07-04
586,586,Professional,199,0,2023-07-21
587,587,Basic,99,0,2024-04-24
588,588,Basic,49,0,2023-04-21
589,589,Enterprise,499,1,2024-07-16
590,590,Enterprise,199,0,2023-04-06
591,591,Enterprise,49,0,2024-09-29
592,592,Enterprise,499,1,2023-05-21
593,593,Basic,999,1,2023-03-17
594,594,Enterprise,499,0,2023-04-10
595,595,Professional,99,0,2024-05-02
596,596,Basic,999,0,2023-11-11
597,597,Enterprise,999,0,2023-12-05
598,598,Enterprise,199,0,2024-04-27
599,599,Professional,499,0,2024-10-21
600,600,Enterprise,199,1,2024-06-02
601,601,Professional,499,0,2024-05-14
602,602,Basic,499,0,2023-10-10
603,603,Professional,199,0,2023-03-10
604,604,Enterprise,199,0,2023-07-16
605,605,Basic,199,0,2023-03-25
606,606,Professional,99,1,2023-12-04
607,607,Professional,99,0,2023-11-18
608,608,Enterprise,499,0,2024-04-18
609,609,Enterprise,99,0,2024-01-22
610,610,Enterprise,99,0,2024-08-08
611,611,Professional,499,0,2023-08-18
612,612,Professional,199,0,2024-08-18
613,613,Basic,199,0,2023-05-14
614,614,Basic,499,0,2023-02-28
615,615,Professional,999,1,2023-09-23
616,616,Basic,499,0,2023-09-05
617,617,Basic,499,1,2023-10-28
618,618,Professional,499,0,2024-10-11
619,619,Enterprise,49,0,2023-09-19
620,620,Enterprise,999,1,2024-05-21
621,621,Basic,199,0,2023-03-14
622,622,Enterprise,99,0,2023-06-19
623,623,Enterprise,499,0,2023-04-21
624,624,Enterprise,199,0,2023-03-10
625,625,Professional,49,0,2023-11-10
626,626,Enterprise,199,0,2024-09-30
627,627,Enterprise,99,0,2024-01-22
628,628,Basic,99,0,2024-11-21
629,629,Professional,499,0,2024-01-04
630,630,Basic,199,0,2024-07-21
631,631,Professional,99,0,2023-07-07
632,632,Enterprise,499,0,2023-12-01
633,633,Enterprise,499,0,2023-07-24
634,634,Basic,499,0,2023-03-29
635,635,Basic,49,1,2023-05-01
636,636,Basic,99,1,2023-01-21
637,637,Enterprise,49,0,2023-03-10
638,638,Basic,999,0,2023-10-04
639,639,Professional,999,0,2024-06-27
640,640,Basic,49,0,2023-04-07
641,641,Professional,49,1,2023-02-08
642,642,Basic,49,0,2024-02-18
643,643,Enterprise,999,0,2024-08-21
644,644,Professional,999,0,2024-09-07
645,645,Professional,49,0,2024-10-23
646,646,Enterprise,99,0,2024-05-13
647,647,Enterprise,499,0,2023-08-22
648,648,Enterprise,499,0,2024-01-17
649,649,Professional,49,0,2023-10-16
650,650,Basic,199,0,2023-12-20
651,651,Basic,999,0,2023-08-27
652,652,Basic,99,0,2024-10-01
653,653,Basic,99,0,2024-03-26
654,654,Basic,199,0,2024-06-12
655,655,Basic,199,0,2024-09-20
656,656,Basic,49,1,2023-04-03
657,657,Basic,49,0,2024-09-21
658,658,Professional,199,0,2024-03-04
659,659,Professional,99,0,2024-03-10
660,660,Basic,499,0,2023-10-19
661,661,Basic,999,1,2023-11-29
662,662,Professional,199,0,2023-11-19
663,663,Enterprise,199,0,2024-10-05
664,664,Professional,199,0,2023-04-06
665,665,Enterprise,499,0,2024-11-01
666,666,Basic,99,0,2023-07-20
667,667,Basic,999,0,2023-12-21
668,668,Professional,499,0,2023-09-22
669,669,Basic,99,1,2024-07-29
670,670,Professional,999,0,2024-11-12
671,671,Professional,199,1,2023-08-25
672,672,Professional,49,0,2024-01-30
673,673,Professional,49,0,2024-10-19
674,674,Basic,199,0,2024-11-08
675,675,Enterprise,999,0,2024-01-13
676,676,Enterprise,499,0,2023-07-26
677,677,Basic,499,0,2023-12-06
678,678,Enterprise,999,1,2023-03-11
679,679,Enterprise,49,1,2024-11-20
680,680,Enterprise,99,1,2023-03-18
681,681,Enterprise,199,1,2024-07-03
682,682,Basic,999,1,2024-04-24
683,683,Enterprise,999,0,2024-10-16
684,684,Basic,199,0,2024-05-13
685,685,Enterprise,99,0,2024-02-19
686,686,Professional,999,1,2024-05-29
687,687,Enterprise,999,0,2024-07-26
688,688,Enterprise,499,0,2024-10-26
689,689,Enterprise,499,0,2024-11-25
690,690,Professional,499,1,2024-07-15
691,691,Basic,199,1,2023-01-14
692,692,Enterprise,99,0,2024-11-24
693,693,Basic,49,0,2023-12-09
694,694,Professional,499,0,2023-03-05
695,695,Basic,99,0,2023-04-03
696,696,Enterprise,499,1,2023-10-23
697,697,Basic,999,0,2023-04-04
698,698,Enterprise,99,0,2024-03-13
699,699,Enterprise,99,0,2023-10-23
700,700,Enterprise,199,1,2023-02-14
701,701,Basic,49,1,2023-09-13
702,702,Enterprise,49,0,2023-08-11
703,703,Enterprise,499,0,2023-10-03
704,704,Enterprise,99,1,2023-03-05
705,705,Enterprise,499,0,2023-03-12
706,706,Basic,999,0,2024-07-17
707,707,Enterprise,499,0,2023-10-23
708,708,Basic,99,0,2023-03-01
