customer_id,region,segment,signup_date
103,Germany,Mid-Market,2024-08-16
104,Ireland,SMB,2023-08-30
105,Ireland,Mid-Market,2023-05-26
106,Ireland,Enterprise,2024-11-19
107,Germany,SMB,2024-02-09
108,Spain,Enterprise,2024-03-12
109,UK,SMB,2023-03-26
110,Spain,Mid-Market,2024-03-21
111,France,SMB,2024-07-04
112,Germany,SMB,2023-09-25
113,Germany,SMB,2024-09-15
114,Germany,SMB,2024-02-26
115,UK,Mid-Market,2023-12-01
116,France,SMB,2024-04-25
117,Germany,Mid-Market,2023-05-18
118,UK,Mid-Market,2024-03-25
119,Germany,SMB,2024-10-24
120,Germany,Mid-Market,2024-10-28
121,UK,SMB,2023-01-05
122,Spain,SMB,2024-10-06
123,UK,SMB,2023-03-14
124,Germany,Enterprise,2024-07-26
125,Ireland,SMB,2024-11-22
126,UK,Mid-Market,2024-06-09
127,Germany,Mid-Market,2023-12-29
128,Germany,SMB,2023-07-11
129,Ireland,Mid-Market,2023-03-27
130,Ireland,SMB,2023-01-25
131,Spain,SMB,2023-08-16
132,France,SMB,2024-02-29
133,UK,SMB,2023-11-11
134,Ireland,SMB,2023-10-04
135,Ireland,SMB,2023-08-31
136,UK,SMB,2023-03-16
137,Ireland,SMB,2024-07-27
138,UK,SMB,2023-10-27
139,France,SMB,2023-08-13
140,Ireland,Mid-Market,2023-11-16
141,France,SMB,2023-09-16
142,Spain,SMB,2023-06-21
143,France,SMB,2024-09-04
144,Germany,SMB,2024-08-03
145,Spain,Mid-Market,2023-05-17
146,Ireland,Mid-Market,2024-07-25
147,Spain,SMB,2023-10-18
148,Germany,Mid-Market,2024-07-27
149,Ireland,Mid-Market,2023-10-22
150,Ireland,SMB,2023-08-13
151,Germany,SMB,2024-08-01
152,Spain,SMB,2024-04-22
153,Ireland,SMB,2024-02-15
154,UK,Mid-Market,2024-09-26
155,Spain,SMB,2023-08-16
156,Spain,SMB,2023-06-06
157,Germany,Mid-Market,2023-10-19
158,France,SMB,2024-07-03
159,Spain,SMB,2023-07-29
160,France,SMB,2023-11-20
161,UK,Mid-Market,2024-01-13
162,Ireland,Enterprise,2024-02-11
163,UK,Mid-Market,2023-07-01
164,Germany,SMB,2024-10-22
165,France,Mid-Market,2024-10-27
166,UK,Enterprise,2024-01-21
167,Ireland,SMB,2023-06-28
168,Spain,Enterprise,2023-06-26
169,UK,SMB,2024-04-13
170,Ireland,SMB,2023-12-08
171,Ireland,SMB,2023-08-03
172,Spain,Mid-Market,2024-04-21
173,Germany,SMB,2023-07-13
174,Germany,SMB,2023-09-21
175,UK,SMB,2023-06-11
176,France,Mid-Market,2024-01-26
177,Germany,SMB,2024-03-18
178,Spain,SMB,2024-08-31
179,Germany,SMB,2023-03-19
180,Spain,SMB,2023-01-07
181,Spain,SMB,2024-01-16
182,UK,Enterprise,2024-06-06
183,France,Mid-Market,2023-09-13
184,France,Enterprise,2023-12-30
185,Ireland,SMB,2023-07-28
186,Ireland,SMB,2023-10-05
187,UK,Enterprise,2024-09-01
188,Spain,Mid-Market,2023-02-10
189,UK,Mid-Market,2024-09-20
190,Ireland,SMB,2023-06-17
191,Spain,SMB,2024-11-15
192,UK,SMB,2023-05-10
193,Germany,SMB,2024-01-06
194,Germany,SMB,2023-04-23
195,UK,SMB,2024-10-25
196,France,SMB,2024-04-11
197,Germany,SMB,2024-04-26
198,Ireland,SMB,2023-01-17
199,UK,SMB,2023-05-11
200,UK,SMB,2024-09-04
201,Spain,Mid-Market,2024-07-22
202,Germany,Mid-Market,2024-10-22
203,Ireland,Enterprise,2023-09-25
204,UK,SMB,2023-01-16
205,UK,SMB,2023-12-01
206,UK,SMB,2024-04-21
207,Germany,SMB,2024-05-04
208,France,SMB,2023-04-08
209,France,SMB,2024-05-11
210,Spain,Mid-Market,2023-01-16
211,UK,SMB,2023-06-19
212,Spain,SMB,2024-02-20
213,France,SMB,2024-04-21
214,Ireland,Mid-Market,2023-12-25
215,Ireland,SMB,2023-05-22
216,Spain,SMB,2024-08-07
217,UK,Mid-Market,2024-01-15
218,Ireland,Mid-Market,2024-07-24
219,Spain,Mid-Market,2024-01-01
220,UK,SMB,2024-05-20
221,Spain,Mid-Market,2024-11-19
222,Ireland,SMB,2024-05-04
223,Ireland,SMB,2023-06-09
224,Ireland,SMB,2023-12-23
225,Germany,SMB,2024-10-10
226,Ireland,SMB,2024-06-20
227,France,SMB,2023-11-24
228,UK,SMB,2023-11-12
229,Ireland,SMB,2023-10-28
230,UK,SMB,2023-10-16
231,Germany,Mid-Market,2024-11-11
232,Spain,Mid-Market,2023-07-10
233,Spain,Mid-Market,2023-01-31
234,Spain,Mid-Market,2023-03-23
235,Spain,SMB,2023-08-12
236,Ireland,Mid-Market,2023-08-11
237,Germany,SMB,2024-04-11
238,France,Mid-Market,2023-08-10
239,France,SMB,2023-01-17
240,Ireland,SMB,2023-04-30
241,Spain,SMB,2023-08-15
242,Spain,SMB,2024-10-07
243,UK,SMB,2023-10-12
244,Ireland,SMB,2023-06-06
245,France,Mid-Market,2024-06-22
246,Spain,Enterprise,2023-03-25
247,Germany,SMB,2024-06-10
248,Ireland,Mid-Market,2023-09-28
249,Ireland,Mid-Market,2023-11-05
250,Germany,Mid-Market,2024-11-23
251,Ireland,SMB,2024-03-30
252,Ireland,SMB,2024-05-15
253,Spain,SMB,2023-10-01
254,Germany,Mid-Market,2023-04-12
255,Germany,SMB,2024-02-05
256,France,Mid-Market,2023-08-30
257,Ireland,Mid-Market,2024-08-11
258,UK,Enterprise,2023-03-31
259,UK,SMB,2023-11-01
260,Ireland,Enterprise,2023-12-25
261,France,Mid-Market,2023-11-14
262,France,SMB,2024-01-25
263,Germany,SMB,2024-11-30
264,France,SMB,2024-06-20
265,France,Mid-Market,2024-09-22
266,France,SMB,2024-10-23
267,Germany,Mid-Market,2023-02-04
268,Ireland,Mid-Market,2023-06-08
269,France,Mid-Market,2024-01-17
270,Ireland,SMB,2024-09-08
271,France,Mid-Market,2024-02-22
272,Germany,SMB,2023-09-03
273,UK,Mid-Market,2024-06-03
274,UK,SMB,2023-11-30
275,Spain,SMB,2024-05-16
276,Ireland,Mid-Market,2023-05-25
277,Germany,Mid-Market,2024-03-24
278,Germany,Mid-Market,2024-09-21
279,Ireland,SMB,2023-10-03
280,France,SMB,2023-04-17
281,Ireland,Mid-Market,2024-07-09
282,France,SMB,2023-11-30
283,France,SMB,2023-01-01
284,Germany,SMB,2024-11-21
285,UK,Enterprise,2023-05-06
286,Ireland,SMB,2023-07-03
287,France,SMB,2024-09-29
288,UK,Mid-Market,2023-01-08
289,Spain,SMB,2024-05-31
290,UK,SMB,2024-02-18
291,Ireland,SMB,2023-12-11
292,Spain,Mid-Market,2023-12-27
293,UK,Mid-Market,2024-07-28
294,Spain,Mid-Market,2024-08-11
295,Spain,Mid-Market,2024-10-05
296,Spain,Mid-Market,2023-12-31
297,Ireland,SMB,2023-03-06
298,Spain,SMB,2024-08-27
299,Germany,SMB,2023-09-24
300,UK,Mid-Market,2023-01-03
301,France,SMB,2023-06-03
302,Spain,SMB,2023-02-12
303,Spain,Mid-Market,2024-09-10
304,France,Enterprise,2023-11-20
305,UK,SMB,2024-01-08
306,France,SMB,2023-05-24
307,UK,SMB,2024-10-05
308,France,SMB,2023-06-08
309,France,SMB,2024-01-20
310,Germany,SMB,2023-04-28
311,UK,SMB,2023-01-10
312,Ireland,SMB,2023-10-20
313,France,SMB,2023-07-21
314,Ireland,SMB,2024-08-03
315,Ireland,SMB,2024-10-23
316,Germany,SMB,2024-08-12
317,Ireland,Enterprise,2023-09-20
318,Spain,Mid-Market,2024-04-03
319,UK,Enterprise,2024-09-12
320,France,SMB,2024-10-09
321,France,SMB,2024-10-03
322,Spain,SMB,2024-07-15
323,UK,SMB,2023-05-10
324,Germany,Mid-Market,2023-04-26
325,Spain,Mid-Market,2023-10-30
326,Ireland,Mid-Market,2023-01-12
327,Spain,SMB,2024-09-18
328,Ireland,Mid-Market,2023-03-25
329,Spain,Mid-Market,2024-07-03
330,France,SMB,2023-04-24
331,UK,Enterprise,2024-03-24
332,UK,Mid-Market,2023-11-07
333,France,Mid-Market,2024-05-04
334,UK,Mid-Market,2023-06-07
335,Germany,Mid-Market,2024-06-09
336,UK,SMB,2024-04-10
337,Ireland,SMB,2023-09-10
338,Ireland,Mid-Market,2023-08-26
339,Ireland,Mid-Market,2024-10-14
340,UK,SMB,2023-03-20
341,France,SMB,2024-03-22
342,France,SMB,2023-10-14
343,UK,SMB,2024-01-17
344,Ireland,SMB,2023-04-09
345,Germany,SMB,2024-02-04
346,Ireland,SMB,2024-01-15
347,UK,SMB,2024-09-19
348,France,SMB,2024-03-30
349,UK,SMB,2024-02-09
350,Spain,SMB,2023-08-01
351,Spain,Mid-Market,2023-06-22
352,France,Mid-Market,2023-11-04
353,France,SMB,2024-08-16
354,UK,Mid-Market,2024-02-01
355,Ireland,Enterprise,2023-05-10
356,UK,Enterprise,2023-08-20
357,UK,SMB,2023-07-19
358,Spain,SMB,2024-02-20
359,Spain,SMB,2023-03-28
360,Germany,SMB,2024-10-06
361,France,SMB,2024-02-03
362,Germany,SMB,2023-12-16
363,Ireland,Enterprise,2024-04-07
364,France,Mid-Market,2023-06-18
365,UK,SMB,2024-11-06
366,Spain,SMB,2023-12-17
367,Ireland,Enterprise,2023-07-02
368,France,SMB,2024-09-17
369,France,SMB,2024-11-16
370,UK,Mid-Market,2024-09-22
371,UK,Mid-Market,2024-10-22
372,Germany,SMB,2024-04-10
373,France,Mid-Market,2024-08-29
374,Germany,Mid-Market,2023-12-19
375,Spain,SMB,2023-04-18
376,UK,SMB,2024-08-06
377,Ireland,SMB,2024-04-27
378,UK,Mid-Market,2023-10-29
379,Spain,SMB,2024-08-20
380,France,Mid-Market,2023-01-14
381,France,SMB,2023-03-11
382,Spain,Mid-Market,2024-06-19
383,Spain,SMB,2024-02-09
384,Spain,SMB,2023-04-29
385,Spain,SMB,2023-02-24
386,UK,SMB,2023-06-08
387,Germany,SMB,2023-04-19
388,Spain,Mid-Market,2023-01-19
389,Ireland,SMB,2023-05-26
390,Germany,Mid-Market,2023-04-28
391,France,SMB,2023-02-16
392,France,SMB,2023-05-17
393,France,SMB,2023-02-19
394,Spain,Mid-Market,2024-07-16
395,UK,Mid-Market,2023-12-15
396,UK,Enterprise,2023-12-22
397,UK,Enterprise,2023-11-09
398,France,SMB,2024-07-22
399,France,SMB,2023-12-08
400,France,Mid-Market,2024-02-04
401,France,SMB,2023-08-16
402,Germany,SMB,2023-07-15
403,UK,Mid-Market,2023-07-22
404,Spain,SMB,2024-05-06
405,UK,SMB,2024-08-21
406,Germany,SMB,2024-01-19
407,Ireland,SMB,2024-05-04
408,Ireland,SMB,2024-07-26
409,Germany,SMB,2024-08-20
410,UK,SMB,2024-05-31
411,UK,SMB,2023-05-24
412,France,SMB,2023-10-21
413,Germany,Mid-Market,2023-02-01
414,France,Mid-Market,2023-08-02
415,Germany,Enterprise,2024-11-10
416,UK,SMB,2023-09-11
417,UK,SMB,2024-11-09
418,UK,SMB,2023-11-03
419,France,Mid-Market,2023-06-13
420,Ireland,SMB,2023-08-26
421,France,SMB,2024-01-22
422,Germany,Enterprise,2023-08-08
423,France,Mid-Market,2024-09-04
424,Germany,Mid-Market,2024-06-07
425,Spain,Enterprise,2024-06-16
426,UK,SMB,2023-09-04
427,Ireland,SMB,2024-10-27
428,Ireland,Mid-Market,2024-03-09
429,Germany,Enterprise,2023-12-30
430,Germany,Mid-Market,2023-10-04
431,Ireland,SMB,2024-11-22
432,UK,Mid-Market,2023-10-06
433,Germany,Mid-Market,2023-09-29
434,Ireland,Mid-Market,2023-01-01
435,Spain,SMB,2024-09-20
436,France,Mid-Market,2024-07-04
437,UK,Mid-Market,2024-10-07
438,Germany,SMB,2024-07-11
439,Germany,SMB,2024-05-21
440,UK,Enterprise,2024-10-23
441,Germany,Mid-Market,2023-10-11
442,Ireland,SMB,2024-01-10
443,France,SMB,2024-03-12
444,Ireland,SMB,2024-01-11
445,Spain,SMB,2023-11-30
446,Ireland,SMB,2024-08-20
447,Spain,Mid-Market,2024-03-07
448,UK,SMB,2024-10-22
449,Germany,SMB,2023-07-20
450,Ireland,SMB,2024-04-24
451,France,Enterprise,2023-06-23
452,Spain,Mid-Market,2024-05-19
453,France,SMB,2024-02-10
454,France,Enterprise,2023-06-11
455,Ireland,SMB,2024-07-26
456,Germany,SMB,2024-03-24
457,Germany,SMB,2023-10-18
458,Spain,SMB,2023-02-18
459,France,SMB,2024-08-24
460,UK,SMB,2024-01-17
461,Ireland,Mid-Market,2024-07-24
462,Germany,SMB,2023-05-07
463,France,Mid-Market,2023-04-19
464,Spain,Mid-Market,2023-09-07
465,Spain,Mid-Market,2024-11-19
466,France,SMB,2024-09-30
467,France,SMB,2023-04-23
468,Ireland,Enterprise,2023-04-15
469,Spain,SMB,2023-07-29
470,France,SMB,2024-03-29
471,Germany,SMB,2023-10-23
472,France,SMB,2023-11-07
473,Spain,Mid-Market,2023-05-07
474,France,SMB,2023-04-17
475,Ireland,SMB,2024-09-25
476,Germany,Mid-Market,2023-02-10
477,Germany,Mid-Market,2024-09-03
478,UK,SMB,2023-01-07
479,Ireland,Enterprise,2024-10-30
480,Germany,SMB,2024-04-19
481,Spain,SMB,2024-11-18
482,Ireland,SMB,2024-09-16
483,Germany,SMB,2024-07-10
484,Germany,SMB,2023-08-22
485,Spain,SMB,2024-06-25
486,Spain,Enterprise,2023-02-04
487,Ireland,SMB,2023-02-28
488,France,Enterprise,2024-05-03
489,Spain,Mid-Market,2024-07-07
490,UK,SMB,2024-01-18
491,France,SMB,2024-08-26
492,UK,SMB,2024-03-10
493,Ireland,Mid-Market,2023-06-14
494,Ireland,Mid-Market,2024-10-20
495,Spain,SMB,2023-09-03
496,France,SMB,2023-07-03
497,France,Enterprise,2023-05-27
498,UK,SMB,2024-08-09
499,Germany,SMB,2024-05-13
500,Germany,SMB,2024-11-17
501,Ireland,SMB,2023-12-03
502,Germany,SMB,2023-01-13
503,Spain,SMB,2024-07-19
504,Spain,SMB,2023-07-13
505,Ireland,Mid-Market,2023-06-12
506,Ireland,SMB,2024-06-25
507,Spain,Mid-Market,2024-07-02
508,France,Mid-Market,2023-05-07
509,Ireland,Mid-Market,2024-01-19
510,Germany,SMB,2023-07-07
511,Spain,Enterprise,2023-05-03
512,UK,Mid-Market,2024-10-17
513,Spain,Mid-Market,2024-05-22
514,Germany,SMB,2023-08-19
515,Ireland,SMB,2024-06-16
516,Ireland,SMB,2023-12-03
517,France,Mid-Market,2023-01-14
518,France,SMB,2024-04-15
519,UK,SMB,2023-12-20
520,Ireland,SMB,2023-06-03
521,Ireland,SMB,2024-01-25
522,France,SMB,2024-07-30
523,UK,SMB,2024-09-03
524,Germany,Enterprise,2024-09-15
525,UK,SMB,2024-09-23
526,Spain,Mid-Market,2023-04-11
527,Ireland,Mid-Market,2024-08-28
528,Germany,Mid-Market,2023-04-11
529,UK,Mid-Market,2023-08-15
530,Ireland,SMB,2024-02-01
531,Ireland,Mid-Market,2023-04-10
532,UK,SMB,2023-09-20
533,France,SMB,2024-06-23
534,Germany,Mid-Market,2023-02-18
535,Spain,Mid-Market,2024-06-08
536,Ireland,SMB,2023-05-18
537,Ireland,Enterprise,2024-06-19
538,France,SMB,2023-04-29
539,France,Enterprise,2024-05-16
540,Ireland,SMB,2023-05-14
541,UK,SMB,2024-09-29
542,Spain,Mid-Market,2024-10-08
543,Germany,Mid-Market,2024-05-18
544,Spain,SMB,2024-09-01
545,France,SMB,2023-08-06
546,Spain,SMB,2024-03-09
547,Ireland,SMB,2023-03-31
548,UK,Mid-Market,2024-05-21
549,Spain,SMB,2023-03-09
550,Ireland,Enterprise,2023-04-12
551,Ireland,Mid-Market,2023-01-05
552,Ireland,Enterprise,2023-01-15
553,Spain,Mid-Market,2024-07-27
554,Spain,SMB,2023-01-03
555,Germany,Mid-Market,2023-11-27
556,France,Mid-Market,2024-11-11
557,UK,SMB,2023-11-28
558,Germany,SMB,2023-06-03
559,Germany,SMB,2023-09-30
560,UK,Mid-Market,2023-05-21
561,Ireland,SMB,2024-08-15
562,Spain,SMB,2023-05-17
563,France,Enterprise,2023-09-12
564,France,SMB,2024-07-20
565,Ireland,SMB,2024-10-14
566,Germany,Enterprise,2023-05-09
567,Germany,SMB,2024-09-20
568,Germany,SMB,2023-01-17
569,France,SMB,2023-03-23
570,UK,Mid-Market,2024-02-08
571,Germany,Mid-Market,2023-07-12
572,Ireland,Enterprise,2023-09-13
573,Germany,SMB,2024-02-07
574,UK,Mid-Market,2024-02-09
575,UK,SMB,2023-08-09
576,France,Mid-Market,2024-04-19
577,Spain,SMB,2024-01-02
578,France,Mid-Market,2024-06-19
579,Ireland,SMB,2023-06-30
580,Spain,Mid-Market,2024-05-23
581,Spain,Mid-Market,2024-11-10
582,Germany,SMB,2023-02-07
583,Ireland,Mid-Market,2023-12-09
584,Spain,Mid-Market,2024-02-15
585,Germany,Enterprise,2024-07-04
586,Germany,SMB,2023-07-21
587,Ireland,SMB,2024-04-24
588,France,Enterprise,2023-04-21
589,Ireland,SMB,2024-07-16
590,UK,Mid-Market,2023-04-06
591,UK,Mid-Market,2024-09-29
592,Ireland,SMB,2023-05-21
593,Ireland,Mid-Market,2023-03-17
594,Ireland,SMB,2023-04-10
595,Germany,Mid-Market,2024-05-02
596,Spain,SMB,2023-11-11
597,Ireland,Enterprise,2023-12-05
598,Spain,Enterprise,2024-04-27
599,Germany,Mid-Market,2024-10-21
600,Germany,SMB,2024-06-02
601,Germany,Mid-Market,2024-05-14
602,Spain,SMB,2023-10-10
603,Spain,Mid-Market,2023-03-10
604,Ireland,Mid-Market,2023-07-16
605,France,Enterprise,2023-03-25
606,France,SMB,2023-12-04
607,Spain,Enterprise,2023-11-18
608,Ireland,Mid-Market,2024-04-18
609,Ireland,SMB,2024-01-22
610,UK,SMB,2024-08-08
611,Germany,SMB,2023-08-18
612,France,SMB,2024-08-18
613,Spain,SMB,2023-05-14
614,Ireland,SMB,2023-02-28
615,Germany,SMB,2023-09-23
616,Germany,Mid-Market,2023-09-05
617,Spain,SMB,2023-10-28
618,France,Enterprise,2024-10-11
619,UK,Mid-Market,2023-09-19
620,UK,SMB,2024-05-21
621,France,SMB,2023-03-14
622,Germany,Mid-Market,2023-06-19
623,Ireland,Mid-Market,2023-04-21
624,Ireland,SMB,2023-03-10
625,Spain,SMB,2023-11-10
626,UK,Mid-Market,2024-09-30
627,Spain,Mid-Market,2024-01-22
628,Germany,SMB,2024-11-21
629,Germany,SMB,2024-01-04
630,Spain,Mid-Market,2024-07-21
631,UK,SMB,2023-07-07
632,France,SMB,2023-12-01
633,Germany,SMB,2023-07-24
634,Spain,SMB,2023-03-29
635,Germany,SMB,2023-05-01
636,Spain,SMB,2023-01-21
637,France,SMB,2023-03-10
638,UK,SMB,2023-10-04
639,Spain,SMB,2024-06-27
640,Ireland,SMB,2023-04-07
641,Germany,Mid-Market,2023-02-08
642,Ireland,SMB,2024-02-18
643,Spain,SMB,2024-08-21
644,Spain,SMB,2024-09-07
645,France,SMB,2024-10-23
646,Germany,Mid-Market,2024-05-13
647,France,SMB,2023-08-22
648,Germany,SMB,2024-01-17
649,Spain,SMB,2023-10-16
650,UK,SMB,2023-12-20
651,UK,SMB,2023-08-27
652,Spain,SMB,2024-10-01
653,Spain,Mid-Market,2024-03-26
654,Ireland,SMB,2024-06-12
655,Germany,SMB,2024-09-20
656,France,Mid-Market,2023-04-03
657,Germany,SMB,2024-09-21
658,Germany,Mid-Market,2024-03-04
659,Ireland,Mid-Market,2024-03-10
660,France,SMB,2023-10-19
661,Spain,SMB,2023-11-29
662,Germany,SMB,2023-11-19
663,Germany,Mid-Market,2024-10-05
664,UK,SMB,2023-04-06
665,Ireland,SMB,2024-11-01
666,Ireland,SMB,2023-07-20
667,UK,Mid-Market,2023-12-21
668,Germany,SMB,2023-09-22
669,Ireland,SMB,2024-07-29
670,Spain,Mid-Market,2024-11-12
671,Germany,SMB,2023-08-25
672,France,Mid-Market,2024-01-30
673,France,SMB,2024-10-19
674,Ireland,SMB,2024-11-08
675,Spain,Mid-Market,2024-01-13
676,UK,Mid-Market,2023-07-26
677,France,Mid-Market,2023-12-06
678,Spain,SMB,2023-03-11
679,Spain,Mid-Market,2024-11-20
680,Spain,SMB,2023-03-18
681,Ireland,SMB,2024-07-03
682,Spain,Mid-Market,2024-04-24
683,Germany,SMB,2024-10-16
684,France,Mid-Market,2024-05-13
685,Germany,SMB,2024-02-19
686,Germany,SMB,2024-05-29
687,Germany,SMB,2024-07-26
688,UK,Mid-Market,2024-10-26
689,Germany,Enterprise,2024-11-25
690,Spain,Enterprise,2024-07-15
691,France,Enterprise,2023-01-14
692,UK,SMB,2024-11-24
693,Spain,Mid-Market,2023-12-09
694,Ireland,SMB,2023-03-05
695,UK,Mid-Market,2023-04-03
696,Germany,Mid-Market,2023-10-23
697,France,SMB,2023-04-04
698,Ireland,SMB,2024-03-13
699,France,SMB,2023-10-23
700,Germany,SMB,2023-02-14
701,Spain,Mid-Market,2023-09-13
702,UK,Mid-Market,2023-08-11
703,Spain,SMB,2023-10-03
704,France,Mid-Market,2023-03-05
705,Germany,Mid-Market,2023-03-12
706,France,SMB,2024-07-17
707,Ireland,Enterprise,2023-10-23
708,Spain,SMB,2023-03-01
709,France,Mid-Market,2023-02-05
710,UK,SMB,2024-01-18
711,France,Mid-Market,2023-07-09
712,Germany,SMB,2024-03-21
713,UK,Mid-Market,2023-04-16
714,Spain,SMB,2024-06-13
715,UK,SMB,2024-05-17
716,France,SMB,2023-03-23
717,France,SMB,2023-07-30
718,UK,SMB,2023-07-06
719,Spain,Enterprise,2023-08-17
720,France,Enterprise,2023-03-13
721,France,SMB,2024-03-26
722,UK,Enterprise,2024-08-30
723,Ireland,Mid-Market,2024-06-27
724,France,SMB,2023-12-15
725,Ireland,SMB,2024-08-18
726,UK,Mid-Market,2023-10-03
727,France,SMB,2023-09-30
728,Spain,Enterprise,2023-11-24
729,Spain,SMB,2024-05-11
730,UK,Mid-Market,2024-05-25
731,UK,SMB,2023-04-04
732,Spain,SMB,2024-04-11
733,France,SMB,2024-04-15
734,France,Enterprise,2024-01-02
735,UK,SMB,2023-05-20
736,Ireland,SMB,2024-10-28
737,Germany,Mid-Market,2024-11-13
738,Spain,Mid-Market,2024-02-28
739,Germany,SMB,2023-08-21
740,Ireland,SMB,2024-03-25
741,Ireland,Mid-Market,2023-07-03
742,Spain,Mid-Market,2024-08-02
743,Spain,SMB,2023-10-15
744,France,Enterprise,2023-07-05
745,France,SMB,2023-07-29
746,France,SMB,2023-05-17
747,Spain,SMB,2024-08-01
748,UK,Enterprise,2023-12-26
749,Germany,Mid-Market,2024-04-08
750,Spain,SMB,2024-11-17
751,France,Mid-Market,2023-05-12
752,Germany,SMB,2024-03-08
753,Spain,SMB,2023-10-21
754,France,Mid-Market,2023-01-25
755,Spain,SMB,2023-04-22
756,UK,SMB,2024-10-24
757,Ireland,Enterprise,2024-05-17
758,UK,SMB,2023-11-07
759,Spain,SMB,2024-07-24
760,Germany,SMB,2024-08-24
761,Spain,SMB,2024-08-28
762,Spain,SMB,2024-11-04
763,Spain,Mid-Market,2023-07-10
764,Ireland,SMB,2024-09-02
765,Ireland,SMB,2024-08-24
766,Spain,Mid-Market,2024-01-01
767,Germany,Mid-Market,2024-02-19
768,Spain,Enterprise,2024-02-11
769,Spain,SMB,2024-01-25
770,France,SMB,2024-06-09
771,Germany,Mid-Market,2024-02-23
772,UK,Mid-Market,2023-11-13
773,UK,SMB,2023-06-13
774,Spain,SMB,2023-07-06
775,UK,SMB,2023-08-25
776,Germany,SMB,2024-05-01
777,France,Enterprise,2023-05-05
778,UK,SMB,2023-07-16
779,Germany,Mid-Market,2024-10-24
780,Spain,SMB,2023-01-04
781,UK,SMB,2024-08-30
782,Germany,SMB,2023-04-16
783,France,SMB,2024-02-20
784,Germany,SMB,2024-05-29
785,Ireland,SMB,2023-09-08
786,Germany,Mid-Market,2023-03-10
787,Ireland,SMB,2023-08-25
788,Ireland,Mid-Market,2024-08-28
